Afghanistan	アフガニスタン
Africa	アフリカ
Åland Islands	オーランド諸島
Albania	アルバニア
Algeria	アルジェリア
American Samoa	米サモア
American Samoa	アメリカ領サモア
Andorra	アンドラ
Angola	アンゴラ
Anguilla	アンギラ
Antarctica	南極大陸
Antarctica	南極
Antigua and Barbuda	アンチグアバーブーダ
Antigua and Barbuda	アンティグア・バーブーダ
Argentina	アルゼンチン
Armenia	アルメニア
Aruba	アルバ
Asia	アジア
Australia	オーストラリア
Austria	オーストリア
Azerbaijan	アゼルバイジャン
Bahamas	バハマ
Bahrain	バーレーン
Bangladesh	バングラデシュ
Barbados	バルバドス
Belarus	ベラルーシ
Belgium	ベルギー
Belize	ベリーズ
Benin	ベナン
Bermuda	バミューダ
Bhutan	ブータン
Bolivia	ボリビア
Bolivia, Plurinational State of	ボリビア多民族国
Bonaire, Saint Eustatius and Saba	ボネール、シント・ユースタティウスおよびサバ
Bosnia and Herzegovina	ボスニア・ヘルツェゴビナ
Botswana	ボツワナ
Bouvet Island	ブーベ島
Brazil	ブラジル
British Indian Ocean Territory	イギリス領インド洋地域
Brunei	ブルネイ
Brunei Darussalam	ブルネイ・ダルサラーム
Bulgaria	ブルガリア
Burkina Faso	ブルキナファソ
Burundi	ブルンジ
Cambodia	カンボジア
Cameroon	カメルーン
Canada	カナダ
Cape Verde	カーボヴェルデ
Cape Verde	カーボベルデ
Cayman Islands	ケイマン諸島
Central African Republic	中央アフリカ共和国
Chad	チャド
Chile	チリ
China	中国
China	中華人民共和国
Christmas Island	クリスマス島
Cocos (Keeling) Islands	ココス（キーリング）諸島
Colombia	コロンビア
Comoros	コモロ
Congo	コンゴ共和国
Congo, the Democratic Republic of the	コンゴ民主共和国
Cook Islands	クック諸島
Costa Rica	コスタリカ
Côte d'Ivoire	コートジボワール
Croatia	クロアチア
Cuba	キューバ
Curaçao	キュラソー
Cyprus	キプロス
Czech Republic	チェコ共和国
Czechia	チェコ
Denmark	デンマーク
Djibouti	ジブチ
Dominica	ドミニカ
Dominica	ドミニカ国
Dominican Republic	ドミニカ共和国
Ecuador	エクアドル
Egypt	エジプト
El Salvador	エルサルバドル
Equatorial Guinea	赤道ギニア共和国
Equatorial Guinea	赤道ギニア
Eritrea	エリトリア
Estonia	エストニア
Ethiopia	エチオピア
Europe	ヨーロッパ
Falkland Islands (Malvinas)	フォークランド（マルビナス）諸島
Faroe Islands	フェロー諸島
Featured Image	アイキャッチ画像
Fiji	フィジー
Finland	フィンランド
France	フランス
French Guiana	フランス領ギアナ
French Polynesia	フランス領ポリネシア
French Southern Territories	フランス領南方・南極地域
Gabon	ガボン
Gambia	ガンビア
Georgia	ジョージア
Germany	ドイツ
Ghana	ガーナ
Gibraltar	ジブラルタル
Greece	ギリシャ
Greenland	グリーンランド
Grenada	グレナダ
Guadeloupe	グアドループ
Guam	グアム
Guatemala	グアテマラ
Guernsey	ガーンジー
