Alabama	アラバマ州
Alaska	アラスカ州
Arizona	アリゾナ州
Arkansas	アーカンソー州
California	カルフォルニア州
Colorado	コロラド州
Connecticut	コネチカット州
Delaware	デラウェア州
Florida	フロリダ州
Georgia	ジョージア州
Hawaii	ハワイ州
Idaho	アイダホ州
Illinois	イリノイ州
Indiana	インディアナ州
Iowa	アイオワ州
Kansas	カンザス州
Kentucky	ケンタッキー州
Louisiana	ルイジアナ州
Maine	メイン州
Maryland	マリーランド州
Massachusetts	マサチューセッツ州
Michigan	ミシガン州
Minnesota	ミネソタ州
Mississippi	ミシシッピ州
Missouri	ミズーリ州
Montana	モンタナ州
Nebraska	ネブラスカ州
Nevada	ネバダ州
New Hampshire	ニューハンプシャー州
New Jersey	ニュージャージー州
New Mexico	ニューメクシコ州
New York	ニューヨーク州
North Carolina	ノースカロライナ州
North Dakota	ノースダコタ州
Ohio	オハイオ州
Oklahoma	オクラホマ州
Oregon	オレゴン州
Pennsylvania	ペンシルベニア州
Rhode Island	ロードアイランド州
South Carolina	サウスカロライナ州
South Dakota	サウスダコタ州
Tennessee	テネシー州
Texas	テキサス州
Utah	ユタ州
Vermont	バーモント州
Virginia	バージニア州
Washington	ワシントン州
West Virginia	ウエストバージニア州
Wisconsin	ウィスコンシン州
Wyoming	ワイオミング州
