en code	ja code 	ja name	en name
AED	AED	UAEディルハム	United Arab Emirates dirham
AFN	AFN	アフガニ	Afghan afghani
ALL	ALL	レク	Albanian lek
AMD	AMD	ドラム	Armenian dram
ANG	ANG	アンティル・ギルダー	Netherlands Antillean guilder
AOA	AOA	クワンザ	Angolan kwanza
ARS	ARS	アルゼンチン・ペソ	Argentine peso
AUD	AUD	オーストラリア・ドル	Australian dollar
AWG	AWG	アルバ・フロリン	Aruban florin
AZN	AZN	アゼルバイジャン・マナト	Azerbaijani manat
BAM	BAM	兌換マルク	Bosnia and Herzegovina convertible mark
BBD	BBD	バルバドス・ドル	Barbados dollar
BDT	BDT	タカ	Bangladeshi taka
BGN	BGN	レフ	Bulgarian lev
BHD	BHD	バーレーン・ディナール	Bahraini dinar
BIF	BIF	ブルンジ・フラン	Burundian franc
BMD	BMD	バミューダ・ドル	Bermudian dollar
BND	BND	ブルネイ・ドル	Brunei dollar
BOB	BOB	ボリビアーノ	Boliviano
BOV			Bolivian Mvdol (funds code)
BRL	BRL	レアル	Brazilian real
BSD	BSD	バハマ・ドル	Bahamian dollar
BTN	BTN	ニュルタム	Bhutanese ngultrum
BWP	BWP	プラ	Botswana pula
BYN	BYR	ベラルーシ・ルーブル	New Belarusian ruble
BYR			Belarusian ruble
BZD	BZD	ベリーズ・ドル	Belize dollar
CAD	CAD	カナダ・ドル	Canadian dollar
CDF	CDF	コンゴ・フラン	Congolese franc
CHE			WIR Euro (complementary currency)
CHF	CHF	スイス・フラン	Swiss franc
CHW			WIR Franc (complementary currency)
CLF			Unidad de Fomento (funds code)
CLP	CLP	チリ・ペソ	Chilean peso
CNY	CNY	人民元	Chinese yuan
COP	COP	コロンビア・ペソ	Colombian peso
COU			Unidad de Valor Real (UVR) (funds code)[7]
CRC	CRC	コスタリカ・コロン	Costa Rican colon
CUC	CUC	兌換ペソ	Cuban convertible peso
CUP	CUP	キューバ・ペソ	Cuban peso
CVE	CVE	カーボベルデ・エスクード	Cape Verde escudo
CZK	CZK	チェコ・コルナ	Czech koruna
DJF	DJF	ジブチ・フラン	Djiboutian franc
DKK	DKK	デンマーク・クローネ	Danish krone
DOP	DOP	ドミニカ・ペソ	Dominican peso
DZD	DZD	アルジェリア・ディナール	Algerian dinar
EGP	EGP	エジプト・ポンド	Egyptian pound
ERN	ERN	ナクファ	Eritrean nakfa
ETB	ETB	ブル	Ethiopian birr
