アファル語	Afar
アブハズ語	Abkhazian
アチェ語	Achinese
アチョリ語	Acoli
アダグメ語	Adangme
アディゲ語	Adyghe; Adygei
アフロ・アジア語族(その他)	Afro-Asiatic languages
アフリヒリ	Afrihili
アフリカーンス語	Afrikaans
アイヌ語	Ainu
アカン語	Akan
アッカド語	Akkadian
アルバニア語	Albanian
アリュート語	Aleut
アルゴンキン語族	Algonquian languages
南アルタイ語	Southern Altai
アムハラ語	Amharic; Abyssinian
古英語	Old English (ca. 450-1100)
アンガ語	Angika
アパッチ語族	Apache languages
アラビア語	Arabic
アラム語	Aramaic
	→Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE)
アラゴン語	Aragonese
アルメニア語	Armenian
アラウコ語族	Araucanian
	→Mapudungun; Mapuche
アラパホ語	Arapaho
人工言語(その他)	Artificial (Other)
	→Artificial languages
アラワク語族	Arawak
アッサム語	Assamese
アストゥリアス語	Asturian; Bable
	→Asturian; Bable; Leonese; Asturleonese
アサパスカ語族	Athapascan languages
オーストラリア先住民語	Australian languages
アバール語	Avarish
	→Avaric
アベスタ語	Avestan
アワディー語	Awadhi
アイマラ語	Aymara
アゼルバイジャン語	Azerbaijani
バンダ語	Banda
	→Banda languages
バミレケ諸語	Bamileke languages
バシュキール語	Bashkir
バルーチー語	Baluchi
バンバラ語	Bambara
バリ語	Balinese
バスク語	Basque
バサ語	Basa
バルト語派(その他)	Baltic (Other)
	→Baltic languages
ベジャ語	Beja
	→Beja; Bedawiyet
白ロシア語；ベラルーシ語	Belarusian; Byelorussian
ベンバ語	Bemba
ベンガル語	Bengali; Bangla
ベルベル語派(その他)	Berber (Other)
	→Berber languages
ボージュプリー語	Bhojpuri
ビハール語	Bihari
	→Bihari languages
ビコル小語群	Bikol
ビニ語	Bini
	→Bini; Edo
ビスラマ語	Bislama
ブラックフット語	Siksika
バントゥ諸語(その他)	Bantu (Other)
	→Bantu languages
ボスニア語	Bosnian
ブラジ語	Braj
ブルトン語	Breton
バタク語(インドネシア)	Batak (Indonesia)
	→Batak languages
ブリヤート語	Buriat
ブギス語	Buginese
ブルガリア語	Bulgarian
ビルマ語；ミャンマー語	Myanmar; Burmese
ビリン語	Blin; Bilin
カド語	Caddo
中米インディアン諸語(その他)	Central American Indian (Other)
	→Central American Indian languages
カリブ語	Carib
	→Galibi Carib
カタロニア語	Catalan
カフカース諸語(その他)	Caucasian (Other)
	→Caucasian languages
セブアノ語	Cebuano
ケルト語派(その他)	Celtic (Other)
	→Celtic languages
チャモロ語	Chamorro
チブチャ語族	Chibcha
チェチェン語	Chechen
チャガタイ語	Chagatai
中国語	Chinese
トラック語	Chuukese
マリ語	Mari
チヌーク・ジャーゴン	Chinook jargon
チョクトー語	Choctaw
チペワイアン語	Chipewyan
	→Chipewyan; Dene Suline
チェロキー語	Cherokee
教会スラブ語	Old Slavonic; Old Church Slavonic; Church Slavonic; Old Bulgarian
	→Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic
チュワシュ語	Chuvash
シャイアン語	Cheyenne
チャム諸語	Chamic languages
コプト語	Coptic
コーンウォール語	Cornish
コルシカ語	Corsican
英語系クレオル諸語及びピジン語(その他)	English-based creoles and pidgins (Other)
	→Creoles and pidgins, English based
フランス語系クレオル諸語及びピジン語(その他)	French-based creoles and pidgins (Other)
	→Creoles and pidgins, French-based
ポルトガル語系クレオル諸語及びピジン語(その他)	Portuguese-based creoles and pidgins (Other)
	→Creoles and pidgins, Portuguese-based
クリー語	Cree
クリム・タタール語；クリム・トルコ語	Crimean Tatar; Crimean Turkish
クレオル諸語及びピジン語(その他)	Creoles and pidgins (Other)
	→Creoles and pidgins
カシューブ語	Kashubian
クシュ語派(その他)	Cushitic (Other)
	→Cushitic languages
チェコ語	Czech
ダコタ語	Dakota
デンマーク語	Danish
ダルグワ語	Dargwa
ダヤク語	Dayak
	→Land Dayak languages
デラウエア語	Delaware
スレイビー語	Slave (Athapascan)
ドグリブ語	Dogrib
ディンカ語	Dinka
ディベヒ語；モルジブ語	Divehi; Maldivian
	→Divehi; Dhivehi; Maldivian
ドーグリー語	Dogri
ドラビダ語族(その他)	Dravidian (Other)
	→Dravidian languages
下ソルブ語	Lower Sorbian
ドゥアラ語	Duala
中期オランダ語	Middle Dutch (ca. 1050-1350)
オランダ語	Dutch
ジュラ語	Dyula
ゾンカ語；ブータン語	Dzongkha; Bhutani; Butanese
エフィック語	Efik
古代エジプト語	Egyptian (Ancient)
エカジュク語	Ekajuk
エラム語	Elamite
英語	English
中期英語	Middle English (1100-1500)
エスペラント語	Esperanto
エストニア語	Estonian
エウェ語群；エベ語群	Ewe
エウォンド語	Ewondo
ファン語	Fang
フェーロー語	Faroese; Faeroese
ファンテ語	Fanti
フィジー語	Fijian
フィリピノ語；ピリピノ語	Filipino; Pilipino
フィンランド語	Finnish
フィン・ウゴル語派(その他)	Finno-Ugrian (Other)
	→Finno-Ugrian languages
フォン語	Fon
フランス語	French
中期フランス語	Middle French (ca. 1400-1600)
古フランス語	Old French (842-ca. 1400)
北フリジア語	Northern Frisian
東フリジア語	Eastern Frisian
フリジア語；西フリジア語	Frisian; Western Frisian
	→Western Frisian
フラニ語；フルフルデ語	Fulah; Fula; Fulani; Fulfulde; Peul
	→Fulah
フリウリ語	Friulian
ガー語	Ga
ガヨ語	Gayo
グバヤ方言群	Gbaya
ゲルマン語派(その他)	Germanic (Other)
	→Germanic languages
グルジア語	Georgian
ドイツ語	German
ゲエズ語	Geez
キリバス語；ギルバート語	Gilbertese
高地スコットランド・ゲール語	Gaelic; Scottish Gaelic; Gaelic (Scots)
アイルランド語	Irish
ガリシア語	Galician; Gallegan
	→Galician
マン島語	Manx Gaelic
	→Manx
中高ドイツ語	Middle High German (ca. 1050-1500)
古高ドイツ語	Old High German (ca. 750-1050)
ゴーンディー語	Gondi
ゴロンタロ語	Gorontalo
ゴート語	Gothic
グレボ小語群	Grebo
古代ギリシア語	Ancient Greek (to 1453)
現代ギリシア語	Modern Greek (post 1453)
グァラニ語；ワラニー語	Guarani
スイス・ドイツ語；アレマン語	Swiss German; Alemanic
	→Swiss German; Alemannic; Alsatian
グジャラート語	Gujarati
クチン語	Gwich'in
ハイダ語	Haida
ハイチ語；ハイチ・クレオール語	Haitian; Haitian Creole
ハウサ語	Hausa
ハワイ語	Hawaiian
